,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Piaoyi Dao: Tiankong Lixian Ji,52,Finished Airing,Unknown,Kids,"Fantasy,",TV,0,#24629,#19001,N/A,36,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Feb 22, 2016 to ?",15 min. per ep.,?,"None found, add some"
1,Pic-lele,12,Finished Airing,Unknown,Kids,Unknown,TV,0,#18358,#19002,N/A,238,"Five anthropomorphic animal friends bond over their ukulele training. Aired as part of TOKYO MX's ""Everybody! Nico Rich"" show.","Dec 7, 2013 to Mar 29, 2014",1 min. per ep.,Winter 2014,Kachidoki Studio
2,Picasso Yu Gongniu,1,Finished Airing,Historical,Unknown,"rde,",Movie,0,#20628,#19003,N/A,104,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1988,9 min.,Unknown,"None found, add some"
3,Picchipichi Shizuku-chan,52,Finished Airing,Unknown,Kids,"Comedy,",TV,0,#16419,#19004,N/A,368,Third season of Pururun! Shizuku-chan.,"Oct 5, 2012 to Sep 27, 2013",15 min. per ep.,Fall 2012,"None found, add some"
4,Pichiko Dakyuubu,29,Finished Airing,Team Sports,Unknown,"Comedy,Sports,",TV,0,#18856,#19005,N/A,206,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Feb 1, 2010 to ?",1 min. per ep.,?,DLE
5,Pichiko Dakyuubu USA-hen,3,Finished Airing,Team Sports,Unknown,"Comedy,Sports,",Special,0,#18857,#19006,N/A,206,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Not available,30 sec. per ep.,Unknown,DLE
6,Pick Me Up! Pilot,1,Finished Airing,Unknown,Unknown,"Action,",ONA,0,#19689,#19007,N/A,160,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jun 9, 2022",3 min.,Unknown,"None found, add some"
7,Piercing I,1,Finished Airing,Unknown,Unknown,"Drama,",Movie,0,#16942,#19008,N/A,330,"Due to the financial crisis, many factories in China are forced to close their doors in late 2008.

Zhang Xiaojun loses his job in a shoe factory. One day, a supermarket guard beats him up, thinking Zhang is a thief. In vain, he asks the supermarket manager for financial redress. Zhang’s dearest wish is to return to his village and become a farmer. But right before his departure, the police arrest him. The supermarket manager also has his problems. On a moonlit night, the storylines converge in a teahouse near the city rampart. 

(Source: Wikipedia)","Jun 12, 2010",1 hr. 13 min.,Unknown,"None found, add some"
8,Pikachin-Kit,115,Finished Airing,Unknown,Kids,"Comedy,Sci-Fi,",TV,1,#15092,#19009,N/A,495,"A fifth-year elementary student named Eiji Toomatsu, and his ""inspiration"" buddy, a dog named Pochirou. One day Eiji finds a mysterious book called the ""Pikachin Research Book,"" and learns about the seven tools that make up the Pikachin Kit. Eiji presses a button inside the research book, and immediately a ""Future Amazon"" delivery arrives at his door with the kit. Eiji uses the blueprints included in the box to assemble the kit, but it seems as though 1% part of the kit is still missing. 

In the franchise, the word ""Pikachin"" means the flash of inspiration or insight one gets about a new project, similar to the visual of a lightbulb turning on above one's head when someone has an idea. The concept of the franchise is ""invention is 99% plastic models, 1% inspiration."" 

(Source: ANN)","Jan 6, 2018 to Mar 28, 2020",24 min. per ep.,Winter 2018,"OLM,       Shin-Ei Animation"
9,PikkaPika Summer,31,Finished Airing,Unknown,Unknown,Unknown,TV,1,#17670,#19010,N/A,278,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"Jul 20, 2015 to Aug 31, 2015",5 min. per ep.,Summer 2015,"None found, add some"
10,Pili Yongshi: Yuanqi Yongzhe,52,Finished Airing,Mecha,Kids,"Sci-Fi,",TV,0,#22982,#19011,N/A,50,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Dec 2014 to ?,24 min. per ep.,?,"None found, add some"
11,Pinch to Punch,156,Finished Airing,Unknown,Unknown,"Comedy,",TV,0,#15538,#19012,N/A,446,"A comedy about two goofy twins in the armed forces.

(Source: AniDB)","Sep 29, 1969 to Mar 28, 1970",5 min. per ep.,Fall 1969,"None found, add some"
12,Ping-pong Xuanfeng,26,Finished Airing,Unknown,Unknown,"Sports,",TV,0,#22702,#19013,N/A,54,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,2007 to ?,23 min. per ep.,?,"None found, add some"
13,Pink Lady Monogatari: Eikou no Tenshi-tachi,33,Finished Airing,Music,Unknown,"Drama,fe,",TV,1,#14442,#19014,N/A,591,"Based on the real life-story of Pink Lady, a female pop duo that rose to superstardom in the mid-1970's.

(Source: ANN)","Oct 24, 1978 to Jun 12, 1979",25 min. per ep.,Fall 1978,Toei Animation
14,Pink Lady Monogatari: Eikou no Tenshi-tachi Recaps,2,Finished Airing,Music,Unknown,"Drama,fe,",Special,1,#17288,#19015,N/A,305,Omnibus/compilation episodes of the main series that aired on TV right after the main series finished broadcasting sometimes known as episode 34 & 35.,"Jun 19, 1979 to Jun 26, 1979",25 min. per ep.,Unknown,Toei Animation
