,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Black Jack: Futari no Kuroi Isha - Manner Movie,1,Finished Airing,Parody,Unknown,"Comedy,",Movie,0,#12508,#10001,5.73,"1,062","A manner movie shown before Black Jack: Futari no Kuroi Isha and Black Jack: Dr. Pinoko no Mori no Bouken, all three were included on the DVD release of Black Jack: Futari no Kuroi Isha. 

Black Jack gets mad at Pinoko, Tezuka himself, and Astro Boy for leaving their cell phone on during an operation...only to find out that the patient Sharaku was the one who left it on. ","Dec 17, 2005",37 sec.,Unknown,"None found, add some"
1,Bouken Korobokkuru,26,Finished Airing,Unknown,Unknown,"Adventure,",TV,0,#14436,#10002,5.73,590,"The adventures of a human and three little gnomes.

(Source: AniDB)","Oct 6, 1973 to Mar 30, 1974",25 min. per ep.,Fall 1973,"Tatsunoko Production,       Eiken"
2,Chuldong! Super Wings,52,Finished Airing,Racing,Kids,"Adventure,",TV,1,#15861,#10003,5.73,413,"Super Wings follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery, Jett encounters new problems that he must solve with the help of his friends the ""Super Wings"": Dizzy, Jerome and Donnie. Together, the team explores different countries and learns the diversity of new cultures.

(Source: Official YouTube channel)","Sep 1, 2013 to Feb 25, 2016",12 min. per ep.,Fall 2013,"None found, add some"
3,Cinnamon no Parade,1,Finished Airing,Unknown,Unknown,"Fantasy,",ONA,1,#13980,#10004,5.73,678,"In the eight-minute video to celebrate Cinnamoroll's tenth anniversary, the white puppy takes a nap and falls into an abandoned amusement park where he meets the rabbit Chocolat. 

(Source: ANN)","Jun 21, 2012",8 min.,Unknown,"None found, add some"
4,Cure Miracle to Mofurun no Mahou Lesson,1,Finished Airing,School,Shoujo,"Action,Fantasy,fe,",Movie,0,#11973,#10005,5.73,"1,268",Short screened alongside the Mahoutsukai Precure! Movie. ,"Oct 29, 2016",6 min.,Unknown,"None found, add some"
5,Cyclops Shoujo Saipuu,12,Finished Airing,School,Unknown,"Comedy,fe,Ecchi,",ONA,36,#3153,#10006,5.73,"43,807","When Fuuka hit her second year of middle school, puberty kicked in. Now she's really tall and has huge boobs. Due to her hairstyle, her classmates call her ""Saipu"", after the cyclops. Her affection for her older brother was cute when she was a little girl and said she wanted to marry him. Now it just freaks him out, since she's decided she's adult enough to follow through on her childish promises.

(Source: MU)","Mar 12, 2013 to May 30, 2013",2 min. per ep.,Unknown,"None found, add some"
6,Duel Masters Movie 2: Lunatic God Saga,1,Finished Airing,Strategy Game,Kids,"Action,Adventure,Comedy,",Movie,0,#12329,#10007,5.73,"1,128","Five Enlightened cards scatters all around Japan after a secret ritual gets interrupted. Shobu Kirifuda got one of these cards from his father. Shori Kirifuda and 5 other duelist hunters are after him. 

Shobu must battle descendants of the Chosen Ones (Yaesar), named Luna & Mikado Kozuki, who can control God power.","Sep 19, 2009",1 hr. 11 min.,Unknown,"None found, add some"
7,Gaist Crusher,51,Finished Airing,Unknown,Unknown,"Action,Fantasy,Supernatural,",TV,5,#10098,#10008,5.73,"2,447","In the year 2047, mankind discovered a rare metal ore called ""Gaimetal"", which possessed a huge amount of energy, and mining for these strange metal ore begins all over the world. However, in 2075, humankind were been constantly attacked by Gaist, a race of metallic creatures whose bodies were encrusted with Gaimetal, thus forming the GCG (also known as ""Gaist Crusher Garrison""), an organization tasked with dealing against the Gaist. In 2064, the GCG send out mankind's line of defense: the Gaist Crushers, humans who can wear a special Gaimetal armor called ""Gaist Gear"", and battle the Gaist,as well as the threat opposed by a mysterious organization called ""Erasers"".

(Source: Wikipedia)","Oct 2, 2013 to Oct 1, 2014",24 min. per ep.,Fall 2013,Pierrot
8,Gegege no Kitarou: Chisougan,1,Finished Airing,Unknown,Unknown,"Adventure,Comedy,Fantasy,Horror,Supernatural,",Movie,0,#12618,#10009,5.73,"1,027","An abbreviated 12 minute version of episode 37 from the 1971 TV anime. This was shown as part of the summer 1980 Toei Manga Matsuri and uses entirely recycled footage.

(Source: TSHS)","Jul 12, 1980",12 min.,Unknown,Toei Animation
9,Hello Kitty no Shiawase no Aoi Hotaru,1,Finished Airing,Unknown,Kids,Unknown,OVA,0,#15669,#10010,5.73,434,A trip to camping with Kitty and her class.,"Apr 21, 1993",27 min.,Unknown,"None found, add some"
10,Kakera,1,Finished Airing,Mythology,Unknown,"rde,",Movie,0,#18218,#10011,5.73,245,"Based on chapter one of Hans Christian Andersen’s The Snow Queen. The original text depicts a disaster brought about by tools and technology. There is a connection between this theme and the nuclear power plant accident that occurred in Japan in 2011. Tsuji's film attempts to be an interleaving depiction of the original story and the real-life disaster.

(Source: Vimeo)",2016,8 min.,Unknown,"None found, add some"
