,course_code,course_name,subclass,quota,vacancies,waiting_applicants,semester,AoI,seats
0,CCST5002,"Quantitative Literacy in Science, Technology and Society (Online) (SCCE)",A,100,100,9,First Semester,ST,91
1,CCST5037,Mathematics: A Cultural Heritage (Online) (SCCE),A,100,100,16,First Semester,ST,84
2,CCST5078,Health Literacy: Things to Know Before Consulting Dr. Google (Online) (HL),A,100,100,10,First Semester,ST,90
3,CCST9003,Everyday Computing and the Internet (SCCE),A,64,64,11,First Semester,ST,53
4,CCST9006,"Chasing Biomedical Miracles: Promises and Perils (SCCE, HL)",A,64,64,1,First Semester,ST,63
5,CCST9009,"Living with Stem Cells (SCCE, HL)",A,64,64,1,First Semester,ST,63
6,CCST9013,Our Living Environment (SCCE),A,64,64,12,First Semester,ST,52
7,CCST9016,Energy: Its Evolution and Environmental Impacts (SCCE),A,64,64,20,First Semester,ST,44
8,CCST9017,Hidden Order in Daily Life: A Mathematical Perspective (SCCE),A,64,64,7,First Semester,ST,57
9,CCST9017,Hidden Order in Daily Life: A Mathematical Perspective (SCCE),B,64,64,6,First Semester,ST,58
10,CCST9019,Understanding Climate Change (SCCE),A,64,64,17,First Semester,ST,47
11,CCST9020,Sustainable Development of the Built Environment (SCCE),A,64,64,11,First Semester,ST,53
12,CCST9022,"How the Mass Media Depicts Science, Technology and the Natural World (SCCE)",A,64,64,4,First Semester,ST,60
13,CCST9023,The Oceans: Science and Society (SCCE),A,64,64,4,First Semester,ST,60
14,CCST9025,"Genetics and Human Nature (SCCE, HL)",A,64,64,44,First Semester,ST,20
15,CCST9026,"Scientific Revolutions: Their Continuing Impact on Our World and Society (SCCE, UQM, UQM)",A,64,64,4,First Semester,ST,60
16,CCST9030,"Forensic Science: Unmasking Evidence, Mysteries and Crimes (SCCE)",A,64,63,16,First Semester,ST,47
17,CCST9032,"""Intelligent"" Architecture and Sustainability (SCCE, HL)",A,64,64,11,First Semester,ST,53
18,CCST9033,"Left Brain, Right Brain: Science and Myth (SCCE)",A,64,64,6,First Semester,ST,58
19,CCST9034,Living in a Hazardous World (SCCE),A,64,64,41,First Semester,ST,23
20,CCST9042,The World of Waves (SCCE),A,150,150,26,First Semester,ST,124
21,CCST9050,"Robot: Flesh, Machines, Intelligence (HL)",A,64,64,9,First Semester,ST,55
22,CCST9051,"What are We Made of – the Fundamental Nature of Matter (UQM, UQM)",A,64,64,3,First Semester,ST,61
23,CCST9056,The Force is with You: How Things Work (SCCE),A,64,64,14,First Semester,ST,50
24,CCST9062,Sports: For You and Hong Kong (HL),A,64,64,44,First Semester,ST,20
25,CCST9064,The World Changed by DNA,A,64,64,2,First Semester,ST,62
26,CCST9070,Nature-inspired Innovations,A,64,64,5,First Semester,ST,59
27,CCST9077,"The Quantum Revolution: From Secret Codes to Black Holes (UQM, UQM)",A,64,64,10,First Semester,ST,54
28,CCST9081,"All You've Ever wanted to Know About Humans (SCCE, UQM, HL, UQM, GSD)",A,64,64,13,First Semester,ST,51
29,CCST9083,Earth as Seen by Satellite (SCCE),A,64,64,4,First Semester,ST,60
30,CCST9084,"From Ancient Remedies to Modern Medicine: A Historical Perspective on Health Technology (UQM, UQM)",A,64,64,6,First Semester,ST,58
31,CCHU5065,"A Life Worth Living (Online) (SCCE, UQM, HL, UQM)",A,100,100,49,First Semester,HU,51
32,CCHU9001,"Designs on the Future (SCCE, HL)",A,64,64,15,First Semester,HU,49
33,CCHU9007,"Sexuality and Gender: Diversity and Society (SCCE, GSD)",A,64,64,21,First Semester,HU,43
34,CCHU9011,"Social Divisions in Contemporary Societies (SCCE, GSD)",A,64,64,2,First Semester,HU,62
35,CCHU9012,"Body, Beauty and Fashion (SCCE, GSD)",A,64,64,15,First Semester,HU,49
36,CCHU9013,Cultural Heritage in the Contemporary World,A,64,64,14,First Semester,HU,50
37,CCHU9018,Art and Ideas: East and West (CA),A,64,64,15,First Semester,HU,49
38,CCHU9022,Journey into Madness: Conceptions of Mental Health and Mental Illness (SCCE),A,64,64,14,First Semester,HU,50
39,CCHU9032,"Language, Institution and Power (SCCE, GSD)",A,64,64,4,First Semester,HU,60
40,CCHU9039,"Sexuality and Culture (SCCE, GSD)",A,64,61,72,First Semester,HU,-11
41,CCHU9049,"Reinventing Classical Music (SCCE, CA)",A,64,64,4,First Semester,HU,60
42,CCHU9051,"Mysteries of the Human Mind (UQM, HL, UQM)",A,64,64,13,First Semester,HU,51
43,CCHU9052,"The Best Things in Life: A Philosophical Exploration (SCCE, UQM, HL, UQM)",A,64,64,11,First Semester,HU,53
44,CCHU9053,"Contested Words, Disputed Symbols (SCCE, GSD)",A,64,64,9,First Semester,HU,55
45,CCHU9056,"Virtual Worlds, Real Bodies (SCCE, CA)",A,64,64,7,First Semester,HU,57
46,CCHU9060,"Games: Play, Learning and Society (SCCE)",A,64,63,66,First Semester,HU,-3
47,CCHU9062,"Buddhist Visions in World Cinema (SCCE, UQM, CA, UQM)",A,64,64,23,First Semester,HU,41
48,CCHU9068,"Shaping our World: Liberalism, Socialism and Nationalism",A,64,64,15,First Semester,HU,49
49,CCHU9070,Making Movies: Creative Expression on Screen (CA),A,40,40,9,First Semester,HU,31
50,CCHU9071,Man Up: Masculinities in the Making (GSD),A,64,64,14,First Semester,HU,50
51,CCHU9075,Buddhist Architecture: Monasteries in Cross-Cultural Developments,A,64,64,28,First Semester,HU,36
52,CCHU9078,"Contemplative Practices: From Personal Awareness to Social Well-being (UQM, HL, UQM)",A,64,64,8,First Semester,HU,56
53,CCHU9081,"Urban Legend: Fact, Myth and Reinterpretation",A,64,64,20,First Semester,HU,44
