,title,episodes,status,theme,demographic,genres,type,favorites,popularity,rank,score,members,synopsis,aired,duration,premiered,studios
0,Document Taiyou no Kiba Dagram,1,Finished Airing,Unknown,Unknown,"Action,Drama,Sci-Fi,",Movie,2,#12724,#9001,5.97,992,"In the planet Deloyer, a colony of the Earth federation, Colonel Von Stein stages a coup d'etat on behalf of the Federation chairman Donan Cashim.","Jul 9, 1983",1 hr. 20 min.,Unknown,Sunrise
1,Eightman,56,Finished Airing,Mecha,Unknown,"Action,Drama,Sci-Fi,",TV,3,#10915,#9002,5.97,"1,883","A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man—a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.

(Source: AnimeNfo)","Nov 7, 1963 to Dec 24, 1964",25 min. per ep.,Fall 1963,TCJ
2,Gendai Kibunroku Kaii Monogatari,1,Finished Airing,Unknown,Unknown,"Horror,",OVA,1,#11867,#9003,5.97,"1,319","The horrid stories that remain in many conversations, the chilling urban legends come to life thanks to the Ga-nime.

The terrible anecdote of an old fridge thrown by a dried up river bed in “Refrigerator”.
 The grotesque encounter with an out of place sculpture standing on top of a building in “The Dharma Statue”.
 The ghost encounter experience by a boy on a long bridge at night in “The Night Bridge” 
A purchase at the flea market that brings a man to an ironic end in “US Army Surplus”
 The enigma of continuous deadly accidents near a railroad in “The Railroad Crossing” 
The mysterious experience of a boy on summer vacation in a peaceful countryside in “I Want Friends”. 

6 pieces of horror put on 1 film. The Japanese urban legends, put on screen in the characteristic drawing of KIMURA Toshiyuki, whose fame reaches outside the borders of Japan, call for a scream, with the talented collaboration for the ending theme of an artist produced by SUDOH Akira, Leilani. 

(Source: Toei-anim.co.jp)","Aug 1, 2006",46 min.,Unknown,Toei Animation
3,Gigi Goegoe Sunghyungsoo,1,Finished Airing,Unknown,Unknown,"Horror,Suspense,",Movie,2,#11622,#9004,5.97,"1,444","Beauty Water looks like a common skin cosmetic. But unlike other cosmetics, people can sculpt their skin with it like molding clay and change their appearance. An ordinary girl, Yaeji, comes across the 'Beauty Water' by chance, and her endless desire to be the most beautiful woman brings her unimaginable disaster.

(Source: Anilist)","Sep 9, 2020",1 hr. 25 min.,Unknown,Studio Animal
4,Ginga Tetsudou 999 (ONA),6,Finished Airing,Space,Unknown,"Adventure,Drama,Sci-Fi,",ONA,1,#12013,#9005,5.97,"1,253",A flash animation remake of the Ginga Tetsudou 999 series.,"Sep 9, 2002 to Jul 2004",15 min. per ep.,Unknown,Toei Animation
5,Girlfriend (Note),3,Finished Airing,Unknown,Unknown,Unknown,ONA,0,#8833,#9006,5.97,"3,788","One day, after the ending of World Dance Battle Royale, it has been unexpectedly decided that the nonet will work together with ""Ootori"" members from Ootoriutain High School to create a drama. The drama is an original story based on Cinderella with an arrangement. It has been decided that Momoko Asahina will play Cinderella and Miyabi Kunishiro the prince. Also, an unexpected role has been decided for Kokomi Shiina. A drama between a slightly different nonet and Ootori members has begun.

(Sourc: MAL News)","Oct 22, 2016 to Nov 5, 2016",11 min. per ep.,Unknown,Encourage Films
6,Green Green OVA,1,Finished Airing,School,Unknown,"Comedy,Romance,Ecchi,",OVA,9,#3992,#9007,5.97,"27,515","Hanaoka high school is an all girls' school, and the girls were pretty excited when they heard that boys were admitted into their high school. Smart and elegant boys, that's in their fantasy. However, in reality, the boys who were actually admitted are from the countryside and not smart at all, leave alone being elegant. And in fact, two of them are dirty perverts...
","Dec 20, 2002",26 min.,Unknown,"None found, add some"
7,Haguregumo,1,Finished Airing,Unknown,Seinen,"Comedy,",Movie,0,#10431,#9008,5.97,"2,201","The year is 1866, the twilight of the Tokugawa era. As Japan boldly moves into a new age, one man couldn't possibly care less. That man is Kumosuke Haguregumo, a retired samurai who has since become the town fool. Though he still carries his twin-bladed katana, Kumosuke spends his days smoking, drinking, and womanizing, rarely coming home before dawn. At home, however, wait his wife and two children, Shinnosuke and Ohana, who are constantly troubled by Kumosuke's antics.

As Shinnosuke grows older, he begins to understand the world around him. Troubled by his father's reputation, Shinnosuke attempts to live a life of honor, though finding what honor means in a turbulent era is difficult. As Shinnosuke navigates his relationship with his father, countless other warriors struggle to find their place in the ever-changing world.

[Written by MAL Rewrite]
","Apr 24, 1982",1 hr. 31 min.,Unknown,"Madhouse,       Toei Animation"
8,Hakuouki: Otogisoushi Special,1,Finished Airing,Unknown,Josei,"Fantasy,",Special,0,#10824,#9009,5.97,"1,946","A Hakuouki: Otogisoushi special episode that aired between episode 11 and episode 12, it was not included in the normal episode count of the main show. It had a TV and web release on the same day and is included on the DVD and BD release.","Jun 21, 2016",3 min.,Unknown,DLE
9,Hare Tokidoki Buta,1,Finished Airing,Unknown,Kids,"Comedy,",Movie,1,#14787,#9010,5.97,532,"Noriyasu seems like an average third-grader, but his life goes haywire after he catches his mother reading his private daily journal. In an effort to astonish her, he begins writing outlandish lies about a giant snake in the bathroom, cooking pencils for dinner, and a rain of pigs, but Noriyasu is the one who's shocked when his writings play out in reality and everyone else treats the events as normal. Things become even more chaotic when he takes several stabs at being a newspaperman, producing “fake news” that become the talk of the town and one resulting in an apocalyptic porcine holiday.

(Source: ANN)","Aug 23, 1988",1 hr. 14 min.,Unknown,"None found, add some"
