,type,title,chapters,status,genres,favorites,popularity,rank,score,members,synopsis,volumns,authors,publish_time
801,manhwa,Wife After Love,87,Finished,Romance,2,#21265,#9365,6.94,478,"Yurae and Muwon used to be all business because they were in an arranged marriage until Yurae asked for a divorce. She moved out of the country and returned three years later for a brief work trip. She's different now and more confident in how she lives her life. But fate—and Muwon—won't let her get away that easily. Now that she has to oversee her company's deal with Muwon, will it be easy for them to separate their business and private lives and leave the past behind?

(Source: Tapas Media)",Unknown,"Lee, Bona (Story), Jeong, Dageum (Art)","Oct  3, 2020 to Aug  25, 2021"
802,manhwa,Can We Become Family?,Unknown,Publishing,"Drama,Fantasy",4,#13358,#9366,6.94,"1,047","Adopted from a poor, rural orphanage by a wealthy duke, Naviah Agnus wanted nothing but to win her new father's heart. Despite her best efforts, the calculating Duke only sees Naviah as a pawn, a mere stand-in for his terminally ill daughter Vivian, who was set to marry the crown prince. But when Vivian miraculously recovers, Naviah is pushed aside and driven to her own death. When she wakes up, she is 8 years old again, but this time, Naviah is done playing nice. Can they ever really become family?

(Source: Tapas Media)",Unknown,"Hanirim (Story), Matcha Vienna (Art)","Sep  17, 2021 to ?"
803,manhwa,Jack Be Invincible,Unknown,Publishing,"Action,Fantasy",6,#5485,#9367,6.94,"3,259","After getting revenge on the Thulcaan Empire, Jack Valantier took his last breath. But just when he thinks it's all over, he finds himself transported back to when he was 14! From his negligent and wicked family to his loyal servant and caring sister, it's all just as he had remembered. But this time, Jack is armed to the teeth with decades of experience from his previous life! He's ready to give them hell, and those that have wronged him will pay dearly. Because this time, he's invincible.

(Source: Tapas Media)",Unknown,"Neogulhi (Story), K (Art)","Mar  12, 2022 to ?"
804,manhwa,World's Strongest Troll,Unknown,Publishing,"Action,Fantasy",4,#11402,#9368,6.94,"1,311","Welcome to Arcadia! The world's most plausible virtual reality game created by three major conglomerates, Ajin Electrons, Sillicoff Industries, and Argos Corporation. Join Jaeyeong, a legendary gamer who goes by the ID Dex, on a chaotic adventure as he hops in the capsule Dreamer to access the fantasy world of Arcadia! Are you ready?

(Source: Webtoon Entertainment)",Unknown,"Gunmandu Meokja (Story), Yato (Art)","Oct  26, 2022 to ?"
805,manhwa,Chronicles of the Cursed Sword,163,Finished,"Action,Adventure,Drama,Fantasy",50,#7667,#9372,6.94,"2,213","Rey Yan was an orphan with no home, no skills, and no purpose. But when he comes upon the PaSa sword, a cursed blade made from the bones of the demon king, he suddenly finds himself with the power to be a great hero. The sword's creator is the evil Shiyan, the royal vizier who needs the sword to assist him in releasing his ancestor, the demon king. (Source: Tokyopop)",37,"Yeo, Beop-Ryong (Story), Park, Hui-Jin (Art)",1999 to  2009
806,manhwa,Honey Mustard,23,Finished,"Comedy,Romance",3,#16737,#9373,6.94,731,"Ara, a pretty high school student, finally gets the chance to cozy up to the guy of her dreams, but she blows it and ends up kissing the wrong boy under fairly compromised circumstances. Hilarious complications, mistaken identities, and misinterpreted signals ensue, and Ara soon finds herself being backed into an arranged marriage she at first wants no part of...

But, as we all know, love has a way of blooming in the unlikeliest of places...and, of course, love eventually conquers all!

(Source: Tokyopop)",4,"Yeo, Ho Kyoung (Story & Art)",2003 to  2004
807,manhwa,Hoosamguk High,Unknown,Finished,Romance,2,#19274,#9378,6.94,574,"Alice is the heiress to the famed Han Gan clan. She returns to Korea to search for a husband who can then lead the clan, and has her hands full with competitive suitors, each fighting for the coveted position more than for Alice herself. What they don't know, however, is Alice's true motive...",10,"Hwang, Mi Ri (Story & Art)",Not available
808,manhwa,Yaya,38,Finished,"Drama,Romance",6,#14500,#9385,6.94,924,"Yaya is a manhwa by the same author of Hissing (Trapnest). The main character of this story is a girl with obsessive compulsive disorder. On a visit to her new school, she meets a fellow student, ""bad boy,"" and a handsome teacher. Things start to heat up later on, who will she end up with?! ",6,"Kang, Eun Young (Story & Art)",2000
809,manhwa,Sunaebo,26,Finished,"Drama,Romance,Life",1,#17542,#9388,6.94,677,"A collection of pure love stories.

Volumes:
1. Sunaebo
2. Sunaebo: Boy's Love
3. Sunaebo: Antiq + Sad
4. Sunaebo: Older

Details on the chapter names can be found in more info.",4,"Park, Eun Ah (Story), Yoon, Ji Woon (Story), Rhim, Ju-Yeon (Story & Art), Seo, Moon Da Mi (Story), Kim, Yeong-Eun (Story), Lee, Shi Young (Story), Kim, Se-Young (Story & Art), Lee, Hyeon-Sook (Story), Kwon, Gyo-jung (Story & Art)",2005 to ?
810,manhwa,Her True Color,Unknown,Finished,Romance,0,#22528,#9441,6.93,426,"Just when Park Sang-Euk was about to take a hit from the opposing gang, he was saved by a mysterious masked girl. The girl took down the jjang and his cronies in the blink of an eye! And now Sang-Euk is determined to find out her identity.",9,"Han, Yu-Rang (Story & Art)",Not available
