,type,title,chapters,status,genres,favorites,popularity,rank,score,members,synopsis,volumns,authors,publish_time
301,manhwa,SiESTA,Unknown,Finished,"Fantasy,Romance,Supernatural",14,#8075,#4926,7.27,"2,068","The world of Siesta is set in fantasy Europe where there are people called bullet users who were discriminated against badly for reasons unknown.  The discrimination has gotten much weaker due to Grande Corp's efforts to wipe out the decades-old pirate faction with the help of Bulletron, a battle suit designed exclusively for bullet users.

The story begins as the protagonist Dia Canto tells you a little bit about herself: how she became an orphan, how she met her foster family, and how she is very much in love with her step brother, Loe. However, her affection toward Loe is brutally crushed before it would even bear fruit and she goes out to vent her sadness. This is when she encounters Cid Leon, who she would ultimately be paid to ""protect"".

(Source: JanimeS)",5,"Lee, Young-You (Story & Art)",2010 to  2013
302,manhwa,The Story of a Low-Rank Soldier Becoming a Monarch,Unknown,Publishing,"Action,Fantasy",6,#7493,#4973,7.27,"2,281","When I was 15, I lost my right hand on the battlefield. When I was 24, I mastered the skills that were necessary for my survival. But I was always told the same things, over and over:

""Just quit. I'll gray even faster if I try to teach you sojutsu.""
""But if you weren't disabled, you could've learned anything you wanted, with nothing holding you back.""
""Hey, let's just collect herbs. Why are you so obsessed with swordsmanship?""
""Just live like everybody else.""

When I was 39, I lost my left hand and fell off a cliff. And when I swallowed the Artifact I had no knowledge about...

(Source: Kakao Entertainment Corp., translated)",Unknown,"Soul Pung (Story), 2631 (Art)","Dec  24, 2020 to ?"
303,manhwa,An Hour of Romance,Unknown,Publishing,"Comedy,Romance",7,#19264,#4974,7.27,575,"Jooahn and Dojin couldn't be any more different at work. She's a perpetually single career woman who takes everything too seriously and rules with an iron fist. He's a modelesque klutz with a heart of gold who lucked into an entry-level marketing job. But when a company trip to a mysterious temple starts an inexplicable soul swap, they end up switching bodies for an hour each day. To avoid utter embarrassment and keep up their reputations, the unlikely pair will have to cooperate and bide their time. Will Jooahn learn to sympathize with the pretty boy who can't do anything right? And will Dojin see the softer side of his boss's spiky persona? From the artist of hit rom-com What's Wrong with Secretary Kim comes an all-new company couple about to spark some serious fireworks.

(Source: Tappytoon)",Unknown,"Kim, Myeongmi (Story & Art)","Feb  22, 2020 to ?"
304,manhwa,"Forget About My Husband, I'd Rather Go Make Money",Unknown,Publishing,"Fantasy,Romance",5,#11376,#4976,7.27,"1,315","I became the wife of a man who had a mistress. Then, I must keep his innocence, right?

""Sleep on the floor.""
""What?"" Those eyes say I don't want to! No matter how hard the floor is, I have no choice.
""I'll just hold your hand and sleep. Trust me.""

But why did the bed break on my first night with my husband? Aristine is a princess imprisoned all her life, not allowed to be in front of the emperor. But the fact is that she possesses of the ""The King's Eye,"" allowing her to see both the future, the present and the past. She becomes the scapegoat for a political marriage, marrying a fearsome barbarian...

""The most precious things should be given to my wife.""

The person who will soon become my husband seems very strange, but it is much more ordinary than I thought. However, he has a mistress. ""I have to make money quickly."" Will Aristine really achieve her dream of living freely on a pile of money? Or will she end up killing two birds with one stone?

(Source: Kakao Entertainment Corp., translated)",Unknown,"Ju, Haeon (Story), Molko (Art)","Aug  11, 2022 to ?"
305,manhwa,I'm Being Raised by Villains,Unknown,Publishing,"Fantasy,Romance",3,#17329,#4978,7.27,690,"A year after transmigrating as an extra, I found out that I was on the verge of being kicked out. I said I'd rather leave the house on my own.

""Actually, this child is my daughter. Right, daughter?""

Did I catch the attention of the psychopathic duke?

""I heard that the money he gave after playing with someone was enough to buy an island?""

I got along with him as his daughter because I thought I could get his fortune later on. And a few months later, I would leave his house with a thick bank account.

""Stay by my side until I tell you to leave.""

However, my dad, who regarded me as a toy, came looking for me and held me back.

(Source: Kakao Entertainment Corp., translated)",Unknown,"Ja, Eunhyang (Story), Lee, Asong (Art)","May  12, 2023 to ?"
306,manhwa,Cheonnyeon Kumiho,248,Finished,"Adventure,Comedy,Fantasy,Romance,Supernatural",29,#8259,#4989,7.27,"2,008","In a city that is neither small nor big, there's a mountain that people avoid. The undeveloped mountain isn't protected with a green belt nor is it a site of environmental conservation. The avoided, prohibited forest... With the dismal atmosphere and the rumors that whisper about the spirits, let it to be called Spirit Mountain.

On the mountain there's a house, a famed house of mediums that shows off their long glorious history of their heritage. Hence, it was once called Medium Mountain. But once, a long time ago, they said a Ninetails lived there... and was known as the Fox Mountain.

But now, 20 years later, a dark aura covered this isolated place...

(Source: MU)",Unknown,Giryang (Story & Art),"Nov  4, 2011 to Sep  16, 2016"
307,manhwa,Yeonae Hyeokmyeong,Unknown,Publishing,"Comedy,Drama,Romance,Life",41,#10713,#5124,7.26,"1,425","A boy falls in love at first sight with a girl, as apparently, he drew a picture of her when he was younger.

And so an incredibly awkward and one-sided love begins.",Unknown,232 (Story & Art),"Sep  4, 2013 to ?"
308,manhwa,The Grand Mudang Saga,Unknown,Publishing,"Action,Fantasy",8,#7073,#5130,7.26,"2,436","On his deathbed, the supreme dark leader is given an ironic second chance at life. He's reborn as Jinmu, a young disciple of his rival clan, the righteous Mudang. Determined to make the best of a bad situation, he resolves to plunge the clan into corruption and debauchery by becoming their master disciple. Oblivious to this nefarious scheme, the Mudang begin to fall for Jinmu's audacious approach to life and martial arts. Will Jinmu be the Mudang Clan's downfall or just the kick in the pants it needs?

(Source: Tapas Media)",Unknown,"Eunyeol (Story), Hwaram (Art)","Oct  31, 2020 to ?"
309,manhwa,My Cute Beast!,101,Finished,"Comedy,Romance",3,#21205,#5132,7.26,480,"As the saying goes—never judge a book by its cover. Da-im is a lovely elementary school teacher, as well as a savage who can rip anyone apart with the fiercest comebacks. On-gyum is a florist with a heart of gold, who often gets misunderstood because of his intimidating looks. But as incompatible as they seem, their shared love of cats starts pulling the unlikely pair closer together... Here comes an upbeat romantic comedy between a sassy bunny and a sweet beast!

(Source: Lezhin Entertainment)",Unknown,"Heim (Story), Jeong, Haesol (Art)","Apr  1, 2018 to Jun  22, 2020"
310,manhwa,The Gourmet Gamer,Unknown,Publishing,"Fantasy,Gourmet",4,#19070,#5133,7.26,586,"When he lost his ability to taste and smell, Rim Lee's life as a chef ended. Just as he's sinking deeper and deeper into depression, Rim discovers [Real], an incredibly immersive VR game that simulates all five senses. There, he's able to regain his senses of taste and smell. Not only that, but he can cook, too! Although he does need to hunt his own monster ingredients down... Now, Rim is here to cook up delicious food, hunt some dangerous monsters, and maybe even build a whole new legacy along the way. Welcome to Rim Lee's new life as ""Rice,"" the gourmet gamer!

(Source: Lezhin Entertainment)",Unknown,"Kidari Studio (Art), In, Key-young (Story)","Apr  30, 2021 to ?"
311,manhwa,To Be an Actor,Unknown,Publishing,Drama,3,#25170,#5137,7.26,341,"Young-guk Jang, who achieved great success as a supporting actor, received the honorable Best Supporting Actor Award at the Acting Awards for the first time. However, on that day, his mother passed away... Horrified by the death of his mother, whom he neglected for years, Young-guk decided to end his life... Before his death, he longingly recalled the warmth of his mother and the peaceful memories of the past. He regretted turning his back on those memories... At that moment, he suddenly regressed to his childhood...

""I regressed, to that past I missed. This time, I will definitely...""

Once again, the story of a person who wants to live as an actor begins. Will he be able to live a happy life unlike the previous life?

(Source: Kakao Entertainment Corp., translated)",Unknown,"Gogwang (Story), Dusi (Art)","Sep  30, 2022 to ?"
