,type,title,chapters,status,genres,favorites,popularity,rank,score,members,synopsis,volumns,authors,publish_time
1901,manhwa,The Reason She Is Avoiding Her Childhood Friend,70,Finished,"Fantasy,Romance",0,#29183,#26500,N/A,242,"After being reborn as a baby in a new world, Arendine Ade is determined to make this life better than her last! Once a miserable and underpaid college drop-out, now she is the daughter of a baronet. With an early start to her education, she makes it her goal in this life to become a government employee—everyone knows they get the best benefits, after all. Unfortunately, her diligent studies are interrupted by the appearance of Kiershka Reinfont, the son of the grand duke. Despite his angelic face, he's a rotten bully with the manners of a devil, and worst of all, he's taken an interest in Arendine. With her new life at stake, Arendine will do whatever it takes to make sure this new ""friend"" doesn't mess things up!

(Source: Tappytoon)",Unknown,"Ryu, Seongyang (Art), Seo, Galin (Story)","Mar  28, 2022 to Apr  10, 2023"
1902,manhwa,Aileen's on Fire!,Unknown,Publishing,"Fantasy,Romance",1,#25322,#26501,N/A,336,"After years of abuse at the hands of those who covet her title as heir to one of the seven great families, Aileen Spade discovers that the red eye she was shamed into hiding all her life is really the source of her family's great magical power. Ready to reclaim her strength, she enters the magic academy, where she quickly becomes popular with her peers, the protagonist, and... the prince! But when she's fated to become the story's tragic villain, will popularity be enough to turn her life around?

(Source: Tapas Media)",Unknown,"Yulja (Art), Geogi-chicken-jom (Story)","Jan  5, 2022 to ?"
1903,manhwa,Stealing the Lady's Heart,Unknown,Publishing,"Fantasy,Romance",0,#26412,#26502,N/A,305,"Rainier Cavalier is a handsome duke burdened with an enormous debt. Henrietta Cortez is a wealthy yet neglected heiress. When Rainier's friend suggests that he ""bride-kidnap"" Henrietta as a means to relieve his financial woes, he does just that. However, he wasn't expecting Henrietta to be so beautiful, nor was he expecting her to propose a marriage of convenience that would improve both their lives. Are these two merely business partners in this unusual arrangement? Or could deeper feelings blossom from a simple ""marriage by capture?""

(Source: Tapas Media)",Unknown,"Kim, Chacha (Story), Mani (Art)","Feb  5, 2022 to ?"
1904,manhwa,All That We Hope to Be,174,Finished,Life,1,#44606,#26506,N/A,81,"Sometimes we just can't get out of a ditch; yet we still hope.

(Source: LINE Webtoon)",Unknown,Itsun (Story & Art),"Apr  11, 2015 to Dec  24, 2016"
1905,manhwa,Kidults,Unknown,Publishing,"Drama,Romance",0,#39791,#26507,N/A,110,"Five childhood friends—Dabin, Jaeha, Taehyeon, Sehui, and Hanbin—make a promise to always stay friends, even after they become adults. Fast forward to the present, where they are now 24-year-olds facing pivotal moments in their journey into adulthood. As they face different challenges, the five friends try to carve out their own paths and figure out what they want for the future, lending each other a helping hand or offering a shoulder to cry on along the way. And amidst it all, unfamiliar feelings begin to blossom where there was once only friendship...

(Source: Webtoon Entertainment)",Unknown,Hahim (Story & Art),"Oct  29, 2020 to ?"
1906,manhwa,Fake Humans,45,Finished,Suspense,0,#33739,#26509,N/A,169,"Having escaped her abusive mother, twenty-year-old Ji-a lives a modest life with her little sister, Su-a. When Su-a does not return from her field trip under sinister circumstances, Ji-a vows to do anything she can to get her sister back. As she and her high school friend Wonseung delve further into the mystery, they find that there might be a larger conspiracy under the surface—a tangled web that includes a cult, a mystery, and powerful figures that might shake South Korea to its core.

(Source: Webtoon Entertainment)",Unknown,"Kim, Badak (Story), Banyan (Art)","May  13, 2021 to Feb  12, 2022"
1907,manhwa,The Wizard Is Poor,80,Finished,"Fantasy,Romance",0,#33073,#26511,N/A,177,"Be it forte or skill, the wizard Elena's capabilities are all top-notch. However, even Elena has a few flaws—her poverty and immense debt!! And the most devastating of her flaws is the fact that jewels are her medium for magic. Then, one day, she is recruited by the greatest household in the Borina Empire, the Mayfield Duchy, as an exclusively contracted wizard. At the thought of being able to pay back all her debts at once, Elena accepts the offer.

However, protecting the duchy, which stands at odds with the empress, is harder than expected. To make things worse, the duke of Mayfield, Cedric, who thinks of wizards as less than bugs, is turning out to be an obstacle for Elena. Will the opportunistic wizard Elena be able to safely complete her task?

(Source: Kakao Entertainment Corp., translated)",Unknown,"Bubllea (Story), Kang, Dahye (Art)","Nov  25, 2021 to Mar  30, 2023"
1908,manhwa,The Villainess's Road to Revenge,Unknown,Publishing,"Drama,Fantasy",0,#33074,#26513,N/A,177,"To support the family after her father's untimely death, Milvia sacrifices her life force to make gold using the forbidden practice of alchemy. But after being accused of trying to kill her stepsister, Relliana, she is sentenced to death. Just before taking her last breath, Milvia realizes she's been betrayed by her own family and is mysteriously given a second chance at life. Now, with the help of a knight named Deus, she's determined to get revenge, but things are not as simple as they seem...

(Source: Tapas Media)",Unknown,"Myomyohee (Story), Dal (Art)","Jan  20, 2022 to ?"
1909,manhwa,The Aftermath,40,Finished,Drama,1,#37494,#26514,N/A,129,"Things are finally looking up for aspiring actress Bobae Lee, after her appearance on the hit matchmaking Reality TV show, ""The Aftermath."" But when her co-star suddenly commits suicide, everything slowly begins to crumble as Bobae soon finds herself the new target of public hate. As she works to rebuild her career from the ground up, she quickly learns that fame can be a double-edged sword and that sometimes, the people closest to you can end up hurting you the most.

(Source: Webtoon Entertainment)",Unknown,Bongsu (Story & Art),"Mar  18, 2021 to Dec  2, 2021"
1910,manhwa,Fantasy Sketch: The Game,32,Finished,"Action,Fantasy,Sci-Fi",0,#51545,#26515,N/A,53,"This video game would take you to the bottom of the world.

(Source: LINE Webtoon)",Unknown,"Um, Jae-Kyung (Story), Cheon, Beom Sick (Art)","Aug  13, 2013 to Feb  25, 2014"
