,type,title,chapters,status,genres,favorites,popularity,rank,score,members,synopsis,volumns,authors,publish_time
2801,manhwa,The Waning Moon,62,Finished,"Love,Supernatural,Erotica",0,#36763,N/A,N/A,135,"After his father's death, Raymond seeks to find out more about his father's work with werewolves, much of which was completed in secrecy. So he enters the Central Laboratory and meets Kata, the werewolf his father discovered years ago. He is one of three werewolves in the entire world to have been discovered by science. But Kata is a special specimen... in order for the laboratory to get the most out of their research, all of Kata's needs must be met—including his voracious sexual appetite. Life at the lab has a long history of mixing work with pleasure, and it isn't long until the lives of everyone at the Central Laboratory becomes tangled up with one another.

(Source: Lezhin Entertainment)",Unknown,Dudda (Story & Art),"May  4, 2018 to Jul  12, 2019"
2802,manhwa,The Third Perspective,28,Finished,"Love,Drama,Erotica",1,#30039,N/A,N/A,225,"Perpetually hiding behind a smile to survive his cruel family and stifling college life, Hyeon Kwon is drowning in anxiety and despair. It's not like he chose to be born into money, but between his father's demands to uphold the family's reputation and his classmates' constant gossiping, the only respite he has is Dowon Baek, his psychiatrist. But everything changes when the mysterious Dowon inducts Hyeon into his secret other life. Infatuated with Dowon and driven by his self-destructive instincts, Hyeon is drawn into a world of twisted desire and pleasure.

(Source: Lezhin Entertainment)",Unknown,Jehae (Story & Art),"Jun  29, 2020 to Dec  16, 2020"
2803,manhwa,Dating My Way Up,25,Finished,"Love,Erotica",0,#37755,N/A,N/A,127,"Handsome, stylish, and capable, Jinah is often mistaken as the heir of the company he works in. In reality, his polished look is just that—a facade he maintains in hopes of entering elite society. It's not easy to keep up appearances, but Jinah is surely inching up the social ladder. Until, that is, a bungling subordinate nicknamed the ""ticking bomb"" is assigned to his team. Like Jinah, though, new team member Do-hyeon is not who he appears to be.

(Source: Lezhin Entertainment)",Unknown,Gum (Story & Art),"Nov  19, 2019 to May  30, 2020"
2804,manhwa,Her Dirty Thirty Scandal,25,Finished,Erotica,0,#44610,N/A,N/A,81,"A lifetime of hard work has finally paid off for Serin. She's got a nice apartment, a promotion at work, but something's missing. A piece of her that she's pushed away for so long that when it comes back, it beats faster and throbs harder than she could've ever imagined. Flings are for students and teenagers. She may be all grown up, but that doesn't mean she's ready for her first scandal.

(Source: Lezhin Entertainment)",Unknown,"Ant Studio (Art), Dal (Story)","Sep  28, 2017 to Sep  4, 2018"
2805,manhwa,The Girlfriend Dice,60,Finished,Erotica,0,#34349,N/A,N/A,161,"Many people fantasize about switching partners and embarking on wild amorous adventures, but sometimes it's easier said than done! Ju-yeong and Mina are in a somewhat ""happy"" relationship, but things are just bland... until a magic dice comes into play! The dice's power changes the couple's chemistry together and adds zest to their love life. Just one toss and a whole new Mina emerges! Maybe those fantasies can be fulfilled after all...

(Source: Lezhin Entertainment)",Unknown,"Son, Hee-Joon (Story & Art)","Jun  1, 2019 to Mar  1, 2021"
2806,manhwa,Swolemates: Toying with the Buff Newbie,13,Finished,"Love,Erotica",0,#40092,N/A,N/A,108,"Hyungseo Lee had only just started working at a small company that sells sex toys when he was faced with a crisis. The sex toy tester suddenly quit and there was no one to fill his position. Hyunseo was asked to take over the job, but there's one big problem—Hyunseo's still a virgin! Luckily, Hyunseo happens to know Sungho Jang, a rising star in the gay porn industry, who is willing to show him the ropes.

(Source: Lezhin Entertainment)",Unknown,Saen (Story & Art),"Jul  5, 2021 to Feb  21, 2022"
2807,manhwa,Sexless,32,Finished,"Love,Drama,Erotica",0,#49196,N/A,N/A,61,"It all started with Laurence walking around in just his underwear. That was the final straw for Chip. Sleeping in separate bedrooms is frustrating enough; he doesn't need Laurence showing him what he can't have! Chip knows Laurence used to sleep around with guys all the time. So what made him go platonic all of a sudden? To find some answers, the two seek out the best couples therapist in San Francisco. But the more they talk, the more they realize there's still a lot to learn about each other.

(Source: Lezhin Entertainment)",Unknown,Awesome (Story & Art),"Apr  5, 2016 to Sep  20, 2016"
2808,manhwa,Narae's Fantasy,38,Finished,Erotica,0,#41147,N/A,N/A,101,"Sweet, adorable Narae. The girl next door that everyone loves! Except, she has just one little secret—she fantasizes about having sex with anyone and everyone! Men, women, BDSM, toys, you name it, it's in there. Nothing is off limits for Narae. Now these fantasies are starting to get out of control and affect her dating (and social) life. With help from the mysterious shamaness Nokjoo and the influential Miss Miso, Narae will find a way to make these fantasies a reality and finally get herself a boyfriend.

(Source: Lezhin Entertainment)",Unknown,Pinko (Story & Art),"Feb  2, 2018 to Feb  2, 2019"
2809,manhwa,No Love Lost Lady,Unknown,Publishing,"Love,Erotica",3,#25487,N/A,N/A,331,"The daughter of a famous actress, Sungha is glamorous, confident, and beautiful. However, her relationships never last longer than one month, and most of the attention she gets is from...women? In order to get in a serious relationship with Mr. Right, she decides that she needs to prevent all women from falling in love with her. So when Sungha first sees the new transfer student, Rahee, she wants to make some things clear. ""You're not already in love with me, are you?"" ""Don't worry. You're the kind of person I can't stand.""

(Source: Lezhin Entertainment)",Unknown,"Park, Minam (Story), Cho, Sangduck (Art)","Aug  3, 2021 to ?"
2810,manhwa,Screengrab,Unknown,Publishing,"Supernatural,Erotica",1,#36912,N/A,N/A,134,"Welcome to Screengrab, the ultimate app for succubi to extract essence from all kinds of men! Capturing and breaking in a man has never been easier, and the view has never been this good. Take a front row seat to watch loner succubus Sola conquer a whole collection of men as she delves into their deepest, darkest desires in this steamy comic from the creator of S Flower.

(Source: Lezhin Entertainment)",Unknown,Jinmi (Story & Art),"Sep  3, 2020 to ?"
